start_time,end_time,duration,duration_mins,rental_place,return_place,start_lat,start_long,end_lat,end_long,trip_duration_minutes,year,month,hour,weekday,is_peak_hour,is_weekend
2018-01-06 15:20:00+00:00,2018-01-06 15:51:00+00:00,1872,31.2,TRAIN STATION,CAUSEWAYHEAD ROUNDABOUT,56.11945,-3.93537,56.13829,-3.92392,31,2018,1,15,Saturday,0,1
2018-01-06 15:56:00+00:00,2018-01-06 16:06:00+00:00,599,9.98,BORESTONE ROUNDABOUT,PORT STREET,56.10034,-3.93702,56.11538,-3.93741,10,2018,1,15,Saturday,0,1
2018-01-06 17:35:00+00:00,2018-01-06 17:51:00+00:00,979,16.32,"WILLOW COURT RESIDENCES, UNIVERSITY OF STIRLING",OLD STIRLING BRIDGE,56.14917,-3.92151,56.12954,-3.93506,16,2018,1,17,Saturday,1,1
2018-01-06 17:35:00+00:00,2018-01-06 17:51:00+00:00,983,16.38,"WILLOW COURT RESIDENCES, UNIVERSITY OF STIRLING",OLD STIRLING BRIDGE,56.14917,-3.92151,56.12954,-3.93506,16,2018,1,17,Saturday,1,1
2018-01-06 17:35:00+00:00,2018-01-06 17:51:00+00:00,918,15.3,"WILLOW COURT RESIDENCES, UNIVERSITY OF STIRLING",OLD STIRLING BRIDGE,56.14917,-3.92151,56.12954,-3.93506,16,2018,1,17,Saturday,1,1
2018-01-06 19:11:00+00:00,2018-01-06 19:31:00+00:00,1201,20.02,BRIDGE OF ALLAN,OLD STIRLING BRIDGE,56.15297,-3.94723,56.12954,-3.93506,20,2018,1,19,Saturday,0,1
2018-01-06 19:26:00+00:00,2018-01-06 19:37:00+00:00,660,11,OLD STIRLING BRIDGE,"COTTRELL BUILDING (LOGIE ENTRANCE), UNIVERSITY OF STIRLING",56.12954,-3.93506,56.14397,-3.92084,11,2018,1,19,Saturday,0,1
2018-01-07 10:22:00+00:00,2018-01-07 10:27:00+00:00,254,4.23,"WILLOW COURT RESIDENCES, UNIVERSITY OF STIRLING","ALEXANDER COURT RESIDENCES, UNIVERSITY OF STIRLING",56.14917,-3.92151,56.14893,-3.9066,5,2018,1,10,Sunday,0,1
2018-01-07 11:24:00+00:00,2018-01-07 11:34:00+00:00,565,9.42,TRAIN STATION,THE PEAK,56.11945,-3.93537,56.1182,-3.91407,10,2018,1,11,Sunday,0,1
2018-01-07 12:51:00+00:00,2018-01-07 13:09:00+00:00,1065,17.75,TRAIN STATION,"COTTRELL BUILDING (LOGIE ENTRANCE), UNIVERSITY OF STIRLING",56.11945,-3.93537,56.14397,-3.92084,18,2018,1,12,Sunday,0,1
2018-01-07 15:53:00+00:00,2018-01-07 16:11:00+00:00,1090,18.17,TRAIN STATION,"COTTRELL BUILDING (LOGIE ENTRANCE), UNIVERSITY OF STIRLING",56.11945,-3.93537,56.14397,-3.92084,18,2018,1,15,Sunday,0,1
2018-01-07 15:57:00+00:00,2018-01-07 16:10:00+00:00,782,13.03,FORTH VALLEY COLLEGE,TRAIN STATION,56.133,-3.96113,56.11945,-3.93537,13,2018,1,15,Sunday,0,1
2018-01-07 17:41:00+00:00,2018-01-07 17:51:00+00:00,552,9.2,TRAIN STATION,OLD STIRLING BRIDGE,56.11945,-3.93537,56.12954,-3.93506,10,2018,1,17,Sunday,1,1
2018-01-07 19:02:00+00:00,2018-01-07 19:10:00+00:00,473,7.88,"WILLOW COURT RESIDENCES, UNIVERSITY OF STIRLING","ALEXANDER COURT RESIDENCES, UNIVERSITY OF STIRLING",56.14917,-3.92151,56.14893,-3.9066,8,2018,1,19,Sunday,0,1
2018-01-07 22:03:00+00:00,2018-01-07 22:23:00+00:00,1175,19.58,"ALEXANDER COURT RESIDENCES, UNIVERSITY OF STIRLING",CAUSEWAYHEAD ROUNDABOUT,56.14893,-3.9066,56.13829,-3.92392,20,2018,1,22,Sunday,0,1
2018-01-07 22:05:00+00:00,2018-01-07 22:08:00+00:00,199,3.32,"ALEXANDER COURT RESIDENCES, UNIVERSITY OF STIRLING","ALEXANDER COURT RESIDENCES, UNIVERSITY OF STIRLING",56.14893,-3.9066,56.14893,-3.9066,3,2018,1,22,Sunday,0,1
2018-01-07 22:09:00+00:00,2018-01-07 22:22:00+00:00,791,13.18,"ALEXANDER COURT RESIDENCES, UNIVERSITY OF STIRLING",CAUSEWAYHEAD ROUNDABOUT,56.14893,-3.9066,56.13829,-3.92392,13,2018,1,22,Sunday,0,1
2018-01-07 22:24:00+00:00,2018-01-07 22:38:00+00:00,872,14.53,CAUSEWAYHEAD ROUNDABOUT,PORT STREET,56.13829,-3.92392,56.11538,-3.93741,14,2018,1,22,Sunday,0,1
2018-01-07 22:25:00+00:00,2018-01-07 22:40:00+00:00,894,14.9,CAUSEWAYHEAD ROUNDABOUT,PORT STREET,56.13829,-3.92392,56.11538,-3.93741,15,2018,1,22,Sunday,0,1
2018-01-07 23:19:00+00:00,2018-01-07 23:45:00+00:00,1579,26.32,PORT STREET,"ALEXANDER COURT RESIDENCES, UNIVERSITY OF STIRLING",56.11538,-3.93741,56.14893,-3.9066,26,2018,1,23,Sunday,0,1
2018-01-07 23:20:00+00:00,2018-01-07 23:46:00+00:00,1554,25.9,PORT STREET,"ALEXANDER COURT RESIDENCES, UNIVERSITY OF STIRLING",56.11538,-3.93741,56.14893,-3.9066,26,2018,1,23,Sunday,0,1
2018-01-08 00:10:00+00:00,2018-01-08 00:16:00+00:00,323,5.38,"ALEXANDER COURT RESIDENCES, UNIVERSITY OF STIRLING","WILLOW COURT RESIDENCES, UNIVERSITY OF STIRLING",56.14893,-3.9066,56.14917,-3.92151,6,2018,1,0,Monday,0,0
2018-01-08 00:48:00+00:00,2018-01-08 01:14:00+00:00,1552,25.87,TRAIN STATION,BRIDGE OF ALLAN,56.11945,-3.93537,56.15297,-3.94723,26,2018,1,0,Monday,0,0
2018-01-08 07:45:00+00:00,2018-01-08 07:58:00+00:00,789,13.15,CAUSEWAYHEAD ROUNDABOUT,BRIDGE OF ALLAN TRAIN STATION,56.13829,-3.92392,56.15685,-3.95705,13,2018,1,7,Monday,1,0
2018-01-08 08:25:00+00:00,2018-01-08 08:53:00+00:00,1727,28.78,BORESTONE ROUNDABOUT,"COTTRELL BUILDING (LOGIE ENTRANCE), UNIVERSITY OF STIRLING",56.10034,-3.93702,56.14397,-3.92084,28,2018,1,8,Monday,1,0
2018-01-08 08:25:00+00:00,2018-01-08 08:26:00+00:00,36,0.6,RAPLOCH COMMUNITY CAMPUS,RAPLOCH COMMUNITY CAMPUS,56.1298,-3.94921,56.1298,-3.94921,1,2018,1,8,Monday,1,0
2018-01-08 08:26:00+00:00,2018-01-08 08:45:00+00:00,1121,18.68,RAPLOCH COMMUNITY CAMPUS,"COTTRELL BUILDING (LOGIE ENTRANCE), UNIVERSITY OF STIRLING",56.1298,-3.94921,56.14397,-3.92084,19,2018,1,8,Monday,1,0
2018-01-08 08:31:00+00:00,2018-01-08 08:32:00+00:00,70,1.17,BRIDGE OF ALLAN TRAIN STATION,BRIDGE OF ALLAN TRAIN STATION,56.15685,-3.95705,56.15685,-3.95705,1,2018,1,8,Monday,1,0
2018-01-08 08:33:00+00:00,2018-01-08 08:35:00+00:00,131,2.18,BRIDGE OF ALLAN TRAIN STATION,BRIDGE OF ALLAN TRAIN STATION,56.15685,-3.95705,56.15685,-3.95705,2,2018,1,8,Monday,1,0
2018-01-08 08:35:00+00:00,2018-01-08 08:46:00+00:00,645,10.75,TRAIN STATION,FORTH VALLEY COLLEGE,56.11945,-3.93537,56.133,-3.96113,11,2018,1,8,Monday,1,0
2018-01-08 08:35:00+00:00,2018-01-08 08:37:00+00:00,70,1.17,BRIDGE OF ALLAN TRAIN STATION,BRIDGE OF ALLAN TRAIN STATION,56.15685,-3.95705,56.15685,-3.95705,2,2018,1,8,Monday,1,0
2018-01-08 08:50:00+00:00,2018-01-08 08:56:00+00:00,309,5.15,CASTLEVIEW PARK & RIDE,CASTLE BUSINESS PARK / LOMOND COURT,56.13104,-3.96703,56.1282,-3.96029,6,2018,1,8,Monday,1,0
2018-01-08 08:56:00+00:00,2018-01-08 09:33:00+00:00,2228,37.13,PORT STREET,"COTTRELL BUILDING (LOGIE ENTRANCE), UNIVERSITY OF STIRLING",56.11538,-3.93741,56.14397,-3.92084,37,2018,1,8,Monday,1,0
2018-01-08 09:06:00+00:00,2018-01-08 09:16:00+00:00,586,9.77,TRAIN STATION,CAUSEWAYHEAD ROUNDABOUT,56.11945,-3.93537,56.13829,-3.92392,10,2018,1,9,Monday,1,0
2018-01-08 09:51:00+00:00,2018-01-08 09:55:00+00:00,263,4.38,"ALEXANDER COURT RESIDENCES, UNIVERSITY OF STIRLING","WILLOW COURT RESIDENCES, UNIVERSITY OF STIRLING",56.14893,-3.9066,56.14917,-3.92151,4,2018,1,9,Monday,1,0
